ObjectID,GlobalID,site,transect,CreationDate,Creator,EditDate,Editor,x,y
1,843406b8-6262-4ed6-8d75-205433e88191,5,19,4/30/2024 3:46:08 AM,MichelleDPL,4/30/2024 3:46:08 AM,MichelleDPL,-108.130019666667,39.1966826666667
2,6a72cb93-4bf4-469e-bc1f-f241ae6c3ff5,5,18,4/30/2024 3:46:08 AM,MichelleDPL,4/30/2024 3:46:08 AM,MichelleDPL,-108.130037666667,39.1966713333333
3,51330e5e-796f-4afe-a507-93dcea7f5ce0,5,17,4/30/2024 3:46:10 AM,MichelleDPL,4/30/2024 3:46:10 AM,MichelleDPL,-108.129769166667,39.1968523333333
4,c8dce0e7-d1ac-48a3-a080-ee5927be4f43,5,21,4/30/2024 3:46:26 AM,MichelleDPL,4/30/2024 3:46:26 AM,MichelleDPL,-108.129705833333,39.1967983333333
5,fc42b1ad-5e71-42c4-8466-524a786dcf23,5,21,4/30/2024 3:46:27 AM,MichelleDPL,4/30/2024 3:46:27 AM,MichelleDPL,-108.129771666667,39.1968315
6,9401ab57-e578-4888-be7b-b184bc5d8c77,5,15,4/30/2024 3:47:14 AM,MichelleDPL,4/30/2024 3:47:14 AM,MichelleDPL,-108.130009666667,39.1966878333333
7,53032779-9cd7-442e-b4f5-903a8149a900,5,16,4/30/2024 3:47:14 AM,MichelleDPL,4/30/2024 3:47:14 AM,MichelleDPL,-108.129974833333,39.1966726666667
8,da639573-6c1c-4cad-87a2-d162088f0e8a,6,25,4/30/2024 3:47:15 AM,MichelleDPL,4/30/2024 3:47:15 AM,MichelleDPL,-108.129771333333,39.1969705
9,cc038581-8482-4a6d-b0d5-0d4a69e00740,6,26,4/30/2024 3:47:16 AM,MichelleDPL,4/30/2024 3:47:16 AM,MichelleDPL,-108.1296975,39.197004
10,a658dc46-ad07-4979-80a0-5baaa110c678,6,24,4/30/2024 3:47:17 AM,MichelleDPL,4/30/2024 3:47:17 AM,MichelleDPL,-108.129676833333,39.1970255
