"","object_id","global_id","transect_meter_mark","direction_to_group","distance_to_group","number_seedlings_in_group","number_vegetative_in_group","number_reproductive_in_group","site_name","dist_between_transects","event_date","recorded_by","transect_number","transect_orientation","parent_global_id","creation_date","creator","edit_date","editor","x","y","Transect Length"
"1","20","5be3cd87-0d08-4df4-b49c-e10b58a0a423",4.67,"-",-0.48,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-0.48,4.67,40
"2","21","1266a1d4-9124-4cbe-9a7f-7587e4254c47",5.25,"+",0.92,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",0.92,5.25,40
"3","22","669ceaba-67d3-441b-979c-cae867248732",5.25,"+",0.76,NA,1,NA,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",0.76,5.25,40
"4","23","3c5b8340-ae8b-4f6c-b46a-e6c38fd04cf7",5.39,"+",0.5,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",0.5,5.39,40
"5","24","2877fcd0-0728-42f8-9029-db5884dd072e",6.34,"-",-0.72,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-0.72,6.34,40
"6","25","cd269eab-61b0-4e43-af34-e151aed0dc3f",6.54,"-",-0.71,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-0.71,6.54,40
"7","26","b756e6d2-7a44-47dd-a73c-708ded4219c6",8.1,"+",0.67,NA,1,NA,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",0.67,8.1,40
"8","27","9189e185-139c-45a5-b4d5-e02db6785304",15.2,"-",-1.62,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-1.62,15.2,40
"9","30","75c21d53-28ae-481d-b7cf-f65fceba1016",22.1,"+",0.67,NA,NA,2,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",0.67,22.1,40
"10","31","48c17157-328e-4acd-8399-9177f4528e3e",22.57,"+",1.53,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",1.53,22.57,40
"11","32","f041ac6d-2b93-4eea-b62d-e124a5dcd77e",22.88,"+",0.71,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",0.71,22.88,40
"12","33","227e202d-1903-4c00-abc6-7331df2e3761",23.67,"+",0.9,NA,1,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",0.9,23.67,40
"13","34","a386b816-da85-449f-99ec-e0c51bc69a1f",24.47,"-",-0.21,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-0.21,24.47,40
"14","35","9dfe195f-20b2-46d2-a2c7-ebf3aeaf076a",23.78,"-",-0.57,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-0.57,23.78,40
"15","36","c33be162-62ce-493f-be68-8292fc293893",24.18,"-",-0.34,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-0.34,24.18,40
"16","37","8e106b95-a81f-45d0-9d9f-dcc40729f7b1",24.65,"-",-2.22,NA,NA,1,"3",10,1714586400000,NA,"1","NS","ee1ed4e0-46bf-4c9b-aad0-243863a5eb66","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-2.22,24.65,40
