"","spacing","Mean.Area.Covered","Mean.Effort","True.Abundance","Mean.Abundance.Estimate","Abundance.Bias","Mean.Abundance.SE","Mean.Abundance.SD","True.Density","Density.Estimate","Density.Bias","Density.SE","Density.SD"
"1",6,15612.9096120364,1301.07580100303,1193.82,1178.5584339363,-1.27838083326596,69.7641106392411,56.5003538739048,0.152922145501232,0.150967218103325,-1.27838083326595,0.00893642046366961,0.00723740206729352
"2",8,11709.4456026457,975.78713355381,1193.82,1170.71878369908,-1.93506695321927,79.4642954839747,66.5239440470778,0.152922145501232,0.149962999599483,-1.93506695321926,0.0101789637936651,0.0085213719412332
"3",10,9369.52254307678,780.793545256399,1193.82,1170.50412348416,-1.95304790637084,88.2214216940153,77.0284333542919,0.152922145501232,0.149935502740142,-1.95304790637082,0.0113007062074833,0.00986694249814624
"4",12,7806.52001839425,650.543334866188,1193.82,1167.22370325738,-2.22783139356218,95.2266507921932,85.8410810951913,0.152922145501232,0.149515297936046,-2.22783139356217,0.0121980396944587,0.0109957969318841
"5",14,6692.48173794681,557.706811495567,1193.82,1166.21947785306,-2.31195005502797,101.186869012026,97.7884647613097,0.152922145501232,0.149386661874166,-2.31195005502798,0.0129615127120262,0.0125261947668585
"6",16,5852.69329692576,487.72444141048,1193.82,1169.47259688333,-2.0394534449637,107.620369687496,102.600608360672,0.152922145501232,0.149803369536694,-2.03945344496368,0.0137856107555976,0.013142605384602
"7",18,5204.67115288573,433.722596073811,1193.82,1164.62383294923,-2.44560880624987,112.988116230728,107.462241136292,0.152922145501232,0.149182268044147,-2.44560880624986,0.0144731912266049,0.0137653553089515
"8",20,4684.18205800507,390.348504833756,1193.82,1166.60902876229,-2.27931943154835,118.70976245118,115.001236006783,0.152922145501232,0.149436561323681,-2.27931943154833,0.0152061044093548,0.0147310614208598
"9",22,4257.18453242109,354.765377701758,1193.82,1163.00520028132,-2.58119312113064,122.258702092308,125.214109174725,0.152922145501232,0.148974929600868,-2.58119312113062,0.0156607051566832,0.0160392774639597
"10",24,3896.09344002811,324.674453335676,1193.82,1159.88971580702,-2.84216081092437,124.745713466199,127.333733209999,0.152922145501232,0.148575852210571,-2.84216081092437,0.0159792784048961,0.0163107903010122
"11",26,3605.91506451667,300.492922043056,1193.82,1168.64437245707,-2.10882943349351,132.788386547831,131.485379511022,0.152922145501232,0.149697278286572,-2.1088294334935,0.0170095030813198,0.0168425946431365
"12",28,3345.96394285157,278.830328570964,1193.82,1167.88737274396,-2.17223930375096,136.366221460897,144.462058409799,0.152922145501232,0.149600310552515,-2.17223930375096,0.0174678051630032,0.0185048398548782
"13",30,3122.16397070545,260.180330892121,1193.82,1158.12506076129,-2.98997664963782,138.662616557,145.045469575707,0.152922145501232,0.14834980905862,-2.98997664963781,0.0177619614554213,0.0185795717970471
