"","spacing","Mean.Area.Covered","Mean.Effort","True.Abundance","Mean.Abundance.Estimate","Abundance.Bias","Mean.Abundance.SE","Mean.Abundance.SD","True.Density","Density.Estimate","Density.Bias","Density.SE","Density.SD"
"1",6,12916.6072377022,1076.38393647518,254.32,246.159340921354,-3.20881530302201,28.3935060445001,24.260064164394,0.0393729971326266,0.0381095903753765,-3.20881530302201,0.00439579046899701,0.00375586441012121
"2",8,9689.45376784644,807.45448065387,254.32,245.59193331761,-3.43192304277687,31.9237790642179,31.9358774424205,0.0393729971326266,0.0380217461714001,-3.43192304277688,0.00494233588218803,0.00494420891384216
"3",10,7755.20753839623,646.267294866353,254.32,244.589115243164,-3.82623653540283,34.5454243358092,35.9162609689136,0.0393729971326266,0.037866493131255,-3.82623653540282,0.00534821049590746,0.00556043897508535
"4",12,6458.97541284479,538.247951070399,254.32,243.096848575185,-4.41300386317038,37.2471644088456,38.137757835025,0.0393729971326266,0.0376354652481179,-4.41300386317039,0.00576648512687933,0.00590436391114835
"5",14,5539.23505324336,461.602921103613,254.32,242.844127644171,-4.51237510059324,38.8256045814328,44.1054791352636,0.0393729971326266,0.0375963398136567,-4.51237510059324,0.00601085411236729,0.00682826715761976
"6",16,4847.89992702717,403.991660585597,254.32,243.983621644427,-4.06431989445297,41.1607024901051,46.2733675143307,0.0393729971326266,0.0377727525771229,-4.06431989445298,0.00637236639320466,0.00716389260167789
"7",18,4304.30288076586,358.691906730489,254.32,243.425378225525,-4.28382422714499,42.815662365676,50.8082739596782,0.0393729971326266,0.0376863271425061,-4.28382422714498,0.00662858191080241,0.00786597210179348
"8",20,3876.47635215954,323.039696013295,254.32,242.05419804288,-4.82297969374035,43.8459908240414,51.7611879369534,0.0393729971326266,0.0374740454761031,-4.82297969374035,0.00678809401931487,0.00801349915155322
"9",22,3527.748856398,293.9790713665,254.32,238.877654075482,-6.07201396843249,43.9944017074741,53.6055593735973,0.0393729971326266,0.036982263246943,-6.07201396843248,0.0068110705106952,0.00829903875239656
"10",24,3235.45878351824,269.621565293187,254.32,238.050079004422,-6.39742096397361,45.6135181103307,56.5439765188187,0.0393729971326266,0.0368541407599193,-6.39742096397361,0.00706173685815926,0.00875395495966796
"11",26,2982.14921712884,248.512434760737,254.32,241.331833034288,-5.107017523479,48.6905473278659,60.2165349073146,0.0393729971326266,0.0373622112695445,-5.107017523479,0.00753811253667067,0.00932252853193775
"12",28,2766.63230551406,230.552692126171,254.32,241.348769606702,-5.10035797157052,49.8413920281892,61.2033790807965,0.0393729971326266,0.0373648333347265,-5.10035797157052,0.00771628257868831,0.00947530854457086
"13",30,2583.40489285652,215.283741071376,254.32,243.045155129764,-4.43333000559767,51.5066052551096,64.4199737172417,0.0393729971326266,0.0376274622366428,-4.43333000559768,0.00797408548686994,0.00997329128834871
